falsified,verified_purchase,sentiment,mean_word_len,num_punctuations,flesch_kincaid_grade,overall_readability_index,total_sentiment,average_review_sentiment
1,1,1,4.85,11,17.7,18.0,4.0,4.0
1,0,1,4.3478260869565215,2,4.2,6.0,8.0,4.0
1,0,1,5.486486486486488,11,17.7,18.0,8.0,8.0
0,0,1,4.291666666666667,5,4.1,4.0,9.0,3.0
1,0,1,6.1,10,13.5,12.0,5.0,5.0
1,0,1,3.8461538461538463,8,3.0,5.0,23.0,2.875
1,1,1,5.190476190476192,3,10.3,14.0,4.0,4.0
0,1,1,4.052083333333333,14,36.8,37.0,10.0,10.0
1,0,1,4.714285714285714,11,7.3,10.0,17.0,4.25
1,0,1,3.5735294117647056,8,5.2,8.0,12.0,3.0
0,1,1,3.9047619047619047,12,15.4,15.0,12.0,12.0
0,1,1,3.897435897435898,7,29.0,29.0,22.0,22.0
1,0,1,3.679245283018868,2,10.1,10.0,6.0,3.0
1,0,1,3.6,4,3.2,3.0,6.0,3.0
1,0,1,5.368421052631579,6,4.0,9.0,17.0,4.25
0,1,1,4.67741935483871,14,5.8,7.0,16.0,3.2
1,0,1,4.571428571428571,8,6.6,9.0,12.0,3.0
1,0,1,4.4848484848484835,7,4.1,6.0,23.0,5.75
1,1,1,3.8333333333333335,6,7.5,8.0,10.0,10.0
0,0,1,4.833333333333333,7,4.4,4.0,15.0,3.75
0,1,1,4.15,2,2.5,4.0,9.0,4.5
1,0,1,3.7714285714285714,6,2.0,2.0,12.0,3.0
0,1,1,4.478260869565218,8,4.2,6.0,12.0,6.0
0,1,1,4.25,4,2.2,5.0,13.0,4.333333333333333
1,1,1,4.283333333333333,7,24.3,0.0,12.0,12.0
1,0,1,4.0,5,6.0,6.0,9.0,3.0
0,1,1,4.875,4,6.8,8.0,10.0,5.0
0,1,1,4.48,6,3.7,7.0,19.0,3.8
1,0,1,4.018867924528302,7,10.1,11.0,8.0,4.0
0,1,1,4.126984126984127,7,3.5,6.0,21.0,4.2
1,0,1,4.217391304347826,3,7.5,8.0,4.0,4.0
1,0,1,4.653061224489796,4,6.9,7.0,15.0,3.75
1,0,1,5.063492063492063,8,9.5,10.0,12.0,3.0
