,falsified,rating,verified_purchase,sentiment,num_words_in_text,num_stopwords,num_words_in_text_no_stop,num_unique_words,mean_word_len,max_word_len,num_chars,num_punctuations,num_scentences_in_text,flesch_ease,flesch_kincaid_grade,automated_readability_index,overall_readability_index,total_sentiment,average_review_sentiment
0,1,4,0,1,23,11,12,21,4.086956521739131,10,116,3,2,102.1,1.9,3.6,5.0,6.0,3.0
1,1,4,1,1,68,30,38,56,4.867647058823528,10,398,4,2,45.43,15.4,18.5,19.0,6.0,3.0
2,1,3,0,0,52,30,22,40,3.7884615384615374,9,248,8,5,94.76,2.6,1.6,5.0,14.0,2.8
3,1,4,0,1,44,24,20,38,3.8409090909090913,11,212,4,4,85.69,4.0,2.2,6.0,13.0,3.25
4,1,4,0,1,66,39,27,46,4.03030303030303,10,331,6,3,74.53,8.3,8.6,9.0,10.0,3.333333333333333
5,1,3,0,0,39,26,13,35,3.8461538461538463,9,188,2,1,57.27,15.0,16.2,17.0,2.0,2.0
6,1,4,0,1,49,19,30,46,4.346938775510204,13,261,6,4,84.37,4.5,5.2,6.0,15.0,3.75
7,1,4,1,1,34,15,19,31,4.0,8,169,6,3,93.85,3.0,3.1,6.0,6.0,2.0
8,1,4,0,1,25,9,16,23,4.8,9,144,3,1,71.48,9.5,13.7,10.0,4.0,4.0
9,1,1,0,0,51,26,25,45,4.4901960784313735,10,279,8,5,78.04,4.9,4.8,5.0,16.0,3.2
10,1,1,0,0,21,12,9,21,4.0,13,104,2,2,94.66,2.7,2.7,3.0,4.0,2.0
11,1,4,0,1,26,15,11,24,3.5384615384615383,9,117,4,3,104.94,0.8,-0.5,1.0,12.0,4.0
12,1,4,0,1,62,31,31,51,4.467741935483871,13,338,8,4,72.66,7.0,7.4,8.0,17.0,4.25
13,1,4,0,1,61,34,27,49,4.426229508196721,12,330,11,5,84.47,4.5,5.5,6.0,13.0,2.6
14,1,4,0,1,37,19,18,30,4.1891891891891895,10,191,0,1,67.76,13.0,16.8,8.0,4.0,4.0
15,1,4,1,1,77,40,37,61,4.12987012987013,9,394,11,3,70.77,9.8,10.9,11.0,10.0,3.333333333333333
16,1,4,0,1,25,13,12,23,4.32,9,132,4,2,92.63,3.4,5.2,6.0,7.0,3.5
17,1,4,1,1,100,54,46,72,4.32,13,531,10,1,-3.64,38.4,48.6,0.0,2.0,2.0
18,1,4,1,1,24,12,12,24,4.916666666666667,10,141,3,1,55.58,11.5,13.7,15.0,6.0,6.0
19,1,4,0,1,29,13,16,25,4.310344827586206,9,153,2,1,67.42,11.1,13.4,8.0,6.0,6.0
20,1,4,1,1,74,38,36,53,4.094594594594596,13,376,17,5,90.29,4.3,5.2,5.0,14.0,2.8
21,1,3,0,0,23,13,10,22,3.4347826086956523,8,101,5,3,105.96,0.4,-1.5,3.0,11.0,3.6666666666666665
22,1,2,1,0,30,14,16,28,4.366666666666666,11,161,5,1,57.95,12.6,14.2,8.0,6.0,6.0
23,1,3,0,0,39,20,19,36,4.333333333333333,11,207,7,2,68.6,8.5,8.7,9.0,6.0,3.0
25,1,4,0,1,46,29,17,37,4.021739130434782,20,230,8,2,81.97,7.5,9.0,6.0,6.0,3.0
26,1,4,1,1,43,26,17,32,4.209302325581397,8,223,3,3,82.34,5.3,5.6,6.0,11.0,3.6666666666666665
27,1,4,0,1,56,27,29,48,4.428571428571429,14,303,12,5,77.23,5.2,5.3,6.0,17.0,3.4
28,1,4,1,1,20,8,12,19,4.5,7,109,2,2,86.71,3.7,4.8,4.0,8.0,4.0
29,1,3,1,0,24,12,12,21,4.166666666666667,10,124,7,1,72.5,9.1,10.2,10.0,7.0,7.0
30,1,4,0,1,59,27,32,44,4.677966101694915,13,334,6,3,59.94,9.8,10.4,10.0,9.0,3.0
31,1,1,0,0,32,17,15,30,4.15625,10,164,4,2,80.62,6.0,6.2,6.0,4.0,2.0
32,1,4,1,1,77,38,39,64,4.311688311688313,11,408,9,5,81.22,5.8,6.6,7.0,15.0,3.0
33,1,3,0,0,41,19,22,35,4.2926829268292686,11,216,3,3,82.95,5.1,5.6,6.0,9.0,3.0
34,1,4,1,1,32,19,13,27,3.8125,9,153,3,3,94.45,2.7,1.9,6.0,10.0,3.333333333333333
36,1,4,1,1,22,9,13,21,4.681818181818182,10,124,9,2,68.77,6.4,6.1,7.0,28.0,14.0
38,1,1,0,0,61,31,30,50,3.9672131147540974,9,302,9,6,94.96,2.5,2.4,5.0,23.0,3.8333333333333335
40,1,4,1,1,41,22,19,36,3.8536585365853657,8,198,4,4,86.4,3.8,1.8,4.0,11.0,2.75
41,1,4,1,1,37,20,17,32,4.243243243243243,11,193,5,3,92.83,3.4,4.7,6.0,8.0,2.6666666666666665
43,1,4,1,1,49,25,24,41,3.877551020408163,13,238,4,4,92.83,3.4,3.0,6.0,14.0,3.5
44,1,4,0,1,49,23,26,43,4.204081632653061,14,254,10,2,71.99,9.3,10.6,10.0,8.0,4.0
45,1,4,0,1,66,36,30,50,4.136363636363637,12,338,7,5,83.46,4.9,4.7,6.0,17.0,3.4
46,1,4,0,1,20,9,11,18,4.25,11,104,2,2,86.71,3.7,3.6,6.0,7.0,3.5
47,1,4,0,1,48,25,23,40,4.479166666666667,11,262,7,4,93.14,3.3,5.7,7.0,18.0,4.5
48,1,1,0,0,41,21,20,32,4.1951219512195115,11,212,1,2,67.59,8.9,8.6,9.0,5.0,2.5
50,1,3,0,0,31,16,15,26,4.161290322580645,9,159,2,2,81.12,5.8,5.9,6.0,6.0,3.0
51,1,3,0,0,48,24,24,43,4.020833333333333,9,240,8,3,89.08,4.8,5.5,5.0,7.0,2.333333333333333
52,1,4,0,1,43,25,18,36,4.186046511627906,13,222,7,3,82.34,5.3,5.5,6.0,9.0,3.0
53,1,4,1,1,27,15,12,24,4.518518518518519,10,148,4,2,83.15,5.0,6.6,7.0,6.0,3.0
54,1,4,0,1,81,40,41,64,4.0,10,405,11,4,76.25,7.7,7.5,8.0,16.0,4.0
55,1,3,0,0,35,15,20,34,4.714285714285714,12,200,11,3,68.47,6.5,7.1,7.0,10.0,3.333333333333333
56,1,1,0,0,54,29,25,41,4.037037037037037,9,271,4,2,69.45,10.3,11.1,11.0,4.0,2.0
58,1,4,1,1,33,18,15,27,3.9696969696969697,11,163,2,1,71.82,11.4,13.8,7.0,4.0,4.0
59,1,1,0,0,24,10,14,22,4.791666666666667,9,138,4,3,80.28,4.1,5.1,7.0,11.0,3.6666666666666665
61,1,3,0,0,20,10,10,19,4.15,8,102,3,1,85.02,6.4,8.1,6.0,2.0,2.0
62,1,4,0,1,30,15,15,28,4.733333333333333,12,171,4,3,69.79,6.0,5.8,6.0,9.0,3.0
63,1,4,0,1,52,32,20,38,3.615384615384616,7,239,4,4,92.12,3.6,2.1,6.0,13.0,3.25
64,1,2,0,0,72,37,35,56,3.875,10,350,7,6,84.68,4.4,2.8,6.0,16.0,2.6666666666666665
65,1,4,1,1,62,36,26,52,4.338709677419355,12,330,8,4,81.12,5.8,6.8,7.0,15.0,3.75
66,1,4,0,1,64,37,27,50,4.015625,13,320,8,5,92.32,3.6,3.9,4.0,17.0,3.4
68,1,4,0,1,46,22,24,40,4.804347826086956,14,266,5,3,64.41,8.1,8.8,9.0,11.0,3.6666666666666665
69,1,1,0,0,20,8,12,19,4.5,13,109,5,2,61.83,7.0,5.6,7.0,7.0,3.5
70,1,2,0,0,19,8,11,19,4.789473684210527,10,109,4,1,60.65,9.5,10.6,10.0,2.0,2.0
71,1,4,1,1,73,37,36,55,3.9863013698630136,10,364,14,6,92.93,3.3,3.4,4.0,16.0,2.6666666666666665
73,1,1,0,0,39,21,18,35,4.333333333333333,9,207,6,3,83.66,4.8,5.5,6.0,6.0,2.0
74,1,4,0,1,90,53,37,63,3.855555555555556,10,436,7,4,82.48,7.3,8.0,7.0,11.0,2.75
75,1,4,1,1,49,29,20,37,4.244897959183674,11,256,2,1,47.12,18.9,23.0,8.0,4.0,4.0
76,1,1,0,0,33,21,12,28,3.878787878787879,9,163,5,1,71.82,11.4,13.3,7.0,9.0,9.0
78,1,4,0,1,21,10,11,21,3.8571428571428568,8,101,2,2,103.12,1.5,2.0,2.0,7.0,3.5
79,1,4,0,1,31,14,17,29,4.387096774193549,9,166,3,2,89.58,4.6,7.0,7.0,6.0,3.0
81,1,4,0,1,39,18,21,33,3.743589743589744,9,184,2,1,74.19,12.6,15.7,13.0,6.0,6.0
82,1,3,0,0,47,24,23,39,4.340425531914893,13,250,5,3,80.92,5.9,6.8,6.0,19.0,6.333333333333332
83,1,4,0,1,42,24,18,37,4.333333333333333,15,223,12,3,82.65,5.2,6.0,6.0,9.0,3.0
84,1,4,1,1,58,31,27,48,4.2586206896551735,16,304,8,4,82.14,5.4,5.9,6.0,12.0,3.0
85,1,4,1,1,63,32,31,50,4.285714285714286,9,332,5,3,75.54,7.9,9.3,8.0,8.0,2.6666666666666665
86,1,4,1,1,70,38,32,52,3.7714285714285714,9,333,9,6,101.9,2.0,2.2,5.0,12.0,2.0
87,1,1,1,0,68,38,30,52,4.220588235294118,12,356,4,2,53.89,14.2,15.4,15.0,9.0,4.5
88,1,4,0,1,39,17,22,37,4.076923076923077,10,197,5,4,78.45,4.8,2.7,5.0,13.0,3.25
89,1,4,0,1,73,43,30,49,3.5616438356164384,12,335,5,1,31.22,27.0,31.8,9.0,10.0,10.0
90,1,4,1,1,63,34,29,54,4.190476190476192,11,326,6,3,84.0,6.8,8.8,7.0,7.0,2.333333333333333
91,1,4,0,1,43,20,23,37,4.72093023255814,11,245,8,3,73.88,6.5,8.0,8.0,10.0,3.333333333333333
92,1,4,0,1,24,9,15,24,4.791666666666667,10,138,4,1,55.58,11.5,13.1,10.0,2.0,2.0
93,1,4,0,1,38,21,17,32,3.7894736842105265,10,181,6,6,98.92,1.0,-0.5,1.0,22.0,3.6666666666666665
94,1,3,0,0,32,14,18,29,4.03125,10,160,6,2,89.08,4.8,5.6,6.0,5.0,2.5
95,1,4,0,1,69,38,31,55,3.7971014492753614,8,330,8,4,87.76,5.3,5.1,6.0,10.0,2.5
96,1,2,0,0,61,30,31,52,4.213114754098362,10,317,6,4,81.33,5.7,6.0,6.0,14.0,3.5
97,1,4,1,1,65,36,29,58,5.092307692307692,15,397,18,1,13.96,27.5,35.0,28.0,9.0,9.0
99,1,4,1,1,25,10,15,21,3.88,8,121,2,2,84.17,4.6,3.1,6.0,6.0,3.0
100,1,2,0,0,76,42,34,56,4.092105263157896,10,386,6,1,19.72,29.4,35.8,0.0,4.0,4.0
101,1,4,0,1,37,17,20,33,4.45945945945946,11,201,10,1,59.3,14.2,18.1,8.0,2.0,2.0
102,1,1,1,0,45,21,24,42,4.711111111111111,12,256,6,3,65.01,7.8,8.6,8.0,6.0,2.0
103,1,4,0,1,39,18,21,33,4.589743589743589,11,217,6,2,77.06,7.4,9.9,7.0,7.0,3.5
104,1,4,0,1,23,16,7,18,3.9130434782608696,9,112,0,1,73.51,8.7,8.5,9.0,4.0,4.0
105,1,3,1,0,52,22,30,46,4.4423076923076925,9,282,6,4,83.66,4.8,6.0,6.0,8.0,2.0
106,1,3,0,0,57,30,27,44,4.175438596491228,10,294,6,6,87.21,3.5,3.0,6.0,21.0,3.5
107,1,4,0,1,64,36,28,54,3.625,9,297,12,4,97.54,3.6,3.7,4.0,32.0,8.0
108,1,4,1,1,37,20,17,33,3.9459459459459465,9,182,5,4,95.88,2.2,1.8,4.0,14.0,3.5
109,1,4,0,1,35,16,19,31,4.4,10,188,7,5,89.75,2.5,2.8,3.0,18.0,3.6
111,1,4,1,1,32,13,19,30,4.5,15,175,8,2,72.16,7.2,7.8,7.0,18.0,9.0
112,1,4,0,1,55,32,23,36,3.9272727272727272,19,271,8,4,91.31,4.0,4.0,4.0,13.0,3.25
113,1,4,0,1,34,21,13,28,4.323529411764706,10,180,3,2,62.68,8.7,7.4,8.0,5.0,2.5
114,1,4,0,1,50,22,28,44,3.98,9,248,11,4,92.63,3.4,3.6,4.0,12.0,3.0
116,1,3,0,0,30,15,15,29,4.066666666666666,7,151,5,2,90.09,4.4,5.2,5.0,10.0,5.0
117,1,4,0,1,45,24,21,34,4.111111111111111,10,229,3,3,81.63,5.6,5.4,6.0,10.0,3.333333333333333
118,1,4,0,1,30,16,14,27,4.8,12,173,6,3,78.25,4.8,6.2,7.0,11.0,3.6666666666666665
119,1,4,0,1,29,13,16,26,4.344827586206897,9,154,4,3,95.47,2.4,3.8,4.0,13.0,4.333333333333333
120,1,4,0,1,22,12,10,21,4.409090909090909,10,118,3,2,85.69,4.0,4.8,5.0,8.0,4.0
121,1,4,0,1,21,8,13,21,4.285714285714286,8,110,4,2,111.58,0.3,4.0,4.0,10.0,5.0
122,1,4,0,1,32,12,20,30,4.71875,9,182,2,1,64.38,12.2,16.8,13.0,7.0,7.0
123,1,4,0,1,47,27,20,33,4.25531914893617,12,246,7,4,84.88,4.4,4.5,6.0,11.0,2.75
124,1,4,0,1,80,35,45,63,4.35,9,427,10,1,15.66,31.0,39.1,31.0,2.0,2.0
125,1,4,0,1,36,20,16,33,4.083333333333333,8,182,3,3,84.68,4.4,3.8,5.0,11.0,3.6666666666666665
126,1,3,1,0,24,13,11,23,4.0,9,119,8,3,97.2,1.7,1.4,2.0,10.0,3.333333333333333
127,1,4,1,1,25,14,11,24,3.44,7,110,3,2,101.09,2.3,1.0,1.0,7.0,3.5
128,1,4,0,1,42,19,23,36,4.833333333333333,11,244,6,3,65.73,7.6,8.3,8.0,9.0,3.0
129,1,4,0,1,32,17,15,26,3.78125,8,152,6,2,80.62,6.0,4.4,6.0,6.0,3.0
130,1,3,1,0,36,20,16,32,4.222222222222221,16,187,4,1,51.86,15.0,16.4,7.0,2.0,2.0
131,1,1,0,0,67,36,31,50,4.164179104477612,11,348,10,1,20.39,27.1,31.7,0.0,8.0,8.0
132,1,4,1,1,38,23,15,32,4.2105263157894735,10,197,5,3,83.96,4.7,4.7,6.0,9.0,3.0
133,1,4,0,1,40,22,18,37,3.95,10,197,5,3,83.36,4.9,3.8,7.0,6.0,2.0
134,1,1,0,0,26,13,13,24,4.730769230769232,9,148,5,1,70.47,9.9,13.8,10.0,6.0,6.0
135,1,1,0,0,47,29,18,37,4.3617021276595755,10,251,5,2,64.54,10.1,10.9,8.0,5.0,2.5
136,1,4,1,1,28,16,12,24,4.107142857142857,9,142,5,3,95.88,2.2,2.6,4.0,15.0,5.0
138,1,1,1,0,24,11,13,21,4.125,13,122,6,2,93.14,3.3,4.0,4.0,8.0,4.0
139,1,4,1,1,87,47,40,59,3.8505747126436782,10,422,9,2,52.7,16.7,18.5,17.0,31.0,15.5
140,1,4,0,1,34,18,16,29,3.9705882352941178,8,168,3,2,88.06,5.2,5.8,6.0,5.0,2.5
141,1,2,0,0,93,48,45,73,4.344086021505377,13,496,11,6,72.66,7.0,6.8,7.0,18.0,3.0
143,1,1,0,0,33,20,13,31,4.181818181818182,8,171,5,1,63.36,12.6,14.8,8.0,4.0,4.0
144,1,3,1,0,20,8,12,20,4.35,10,106,3,2,86.71,3.7,4.1,6.0,8.0,4.0
145,1,3,0,0,42,21,21,35,4.6190476190476195,16,235,9,2,67.59,8.9,11.1,9.0,7.0,3.5
146,1,4,0,1,41,22,19,33,4.048780487804878,10,208,3,1,55.24,15.7,18.1,7.0,10.0,10.0
148,1,4,0,1,34,13,21,32,4.5,10,186,5,2,79.6,6.4,8.3,8.0,7.0,3.5
149,1,1,0,0,35,3,32,35,5.457142857142856,9,226,11,2,71.14,7.6,13.5,8.0,12.0,6.0
150,1,2,0,0,50,22,28,45,4.08,11,253,10,4,84.37,4.5,4.3,5.0,9.0,2.25
151,1,4,0,1,25,12,13,22,4.28,10,131,5,3,96.89,1.8,2.9,5.0,11.0,3.6666666666666665
152,1,4,0,1,61,34,27,46,3.7868852459016393,13,291,10,5,92.93,3.3,2.5,3.0,13.0,2.6
153,1,4,0,1,35,21,14,31,3.971428571428572,7,173,6,2,96.01,4.2,6.0,5.0,6.0,3.0
155,1,3,0,0,33,19,14,30,4.151515151515151,10,169,8,2,88.57,5.0,6.4,5.0,5.0,2.5
156,1,4,0,1,28,15,13,21,3.5357142857142856,10,126,3,3,104.34,1.0,-0.2,1.0,15.0,5.0
157,1,4,0,1,28,12,16,26,4.214285714285714,10,145,3,1,59.98,11.8,12.4,12.0,4.0,4.0
158,1,4,0,1,63,36,27,45,3.761904761904762,9,299,4,1,41.37,23.1,27.8,0.0,4.0,4.0
159,1,2,0,0,61,36,25,44,3.9836065573770494,12,303,10,5,84.88,4.4,3.9,4.0,15.0,3.0
160,1,4,0,1,44,21,23,38,4.0227272727272725,14,220,6,4,77.43,5.1,3.4,5.0,15.0,3.75
162,1,4,0,1,54,29,25,49,4.462962962962963,11,294,6,3,70.13,8.0,8.6,8.0,13.0,4.333333333333333
164,1,3,0,0,73,31,42,62,4.945205479452055,21,433,23,6,67.76,6.8,8.2,8.0,18.0,3.0
165,1,4,0,1,65,37,28,51,3.661538461538461,9,302,5,4,88.77,4.9,3.9,8.0,14.0,3.5
166,1,4,1,1,32,14,18,29,4.8125,11,185,5,2,72.16,7.2,9.2,9.0,5.0,2.5
167,1,4,0,1,42,22,20,33,4.476190476190476,11,229,6,4,77.74,5.0,4.9,7.0,15.0,3.75
168,1,3,1,0,69,39,30,52,3.855072463768116,11,334,8,3,81.97,7.5,8.3,8.0,13.0,4.333333333333333
169,1,4,1,1,64,33,31,51,4.453125,13,348,13,4,72.16,7.2,7.5,8.0,12.0,3.0
170,1,4,1,1,27,13,14,24,5.148148148148149,11,165,2,2,66.23,7.4,9.6,8.0,8.0,4.0
171,1,4,0,1,49,28,21,37,4.061224489795919,9,247,4,4,92.83,3.4,3.8,6.0,13.0,3.25
172,1,1,0,0,57,31,26,48,4.245614035087719,12,298,11,5,93.74,3.0,4.3,6.0,17.0,3.4
173,1,4,0,1,35,12,23,28,5.371428571428571,16,222,11,2,70.63,7.8,12.6,7.0,10.0,5.0
175,1,4,0,1,51,29,22,41,3.607843137254902,8,234,5,3,88.06,5.2,4.1,7.0,11.0,3.6666666666666665
176,1,3,0,0,64,35,29,49,3.96875,10,318,5,3,75.24,8.1,7.9,8.0,13.0,4.333333333333333
177,1,3,1,0,34,21,13,27,4.5,11,186,4,1,53.89,14.2,16.8,9.0,9.0,9.0
178,1,4,0,1,44,21,23,37,4.5227272727272725,14,242,5,3,73.47,6.7,7.2,8.0,12.0,4.0
180,1,4,1,1,72,33,39,55,5.472222222222222,14,465,8,4,44.75,11.5,13.3,12.0,14.0,3.5
181,1,4,0,1,81,49,32,60,4.061728395061729,10,409,11,7,93.54,3.1,3.5,6.0,20.0,2.8571428571428568
182,1,1,0,0,31,16,15,28,4.580645161290323,10,172,3,2,72.66,7.0,7.9,7.0,4.0,2.0
183,1,4,0,1,45,25,20,38,4.333333333333333,13,239,4,4,93.85,3.0,4.6,5.0,14.0,3.5
184,1,4,1,1,55,27,28,44,4.254545454545455,10,288,6,2,68.94,10.5,12.3,8.0,6.0,3.0
185,1,4,0,1,39,19,20,34,4.333333333333333,11,207,4,3,92.12,3.6,5.5,6.0,8.0,2.6666666666666665
186,1,4,0,1,36,17,19,33,4.611111111111111,9,201,5,4,96.18,2.1,4.8,4.0,13.0,3.25
187,1,3,0,0,22,10,12,22,4.454545454545454,9,119,4,3,97.91,1.4,3.2,5.0,8.0,2.6666666666666665
188,1,2,0,0,42,21,21,32,3.571428571428572,8,191,5,5,113.71,-0.6,-0.5,1.0,12.0,2.4
189,1,4,0,1,25,11,14,24,5.36,12,158,6,3,71.51,5.3,8.0,8.0,8.0,2.6666666666666665
190,1,4,0,1,58,28,30,51,4.655172413793104,15,327,25,2,67.42,11.1,15.0,8.0,10.0,5.0
191,1,3,0,0,45,23,22,36,4.111111111111111,9,229,4,2,66.07,9.5,9.4,10.0,6.0,3.0
193,1,1,0,0,33,18,15,31,4.242424242424242,13,172,3,2,80.11,6.2,6.8,6.0,5.0,2.5
194,1,4,1,1,67,37,30,51,4.313432835820897,11,355,7,5,83.25,5.0,5.6,7.0,15.0,3.0
195,1,4,0,1,23,14,9,19,3.9565217391304346,10,114,3,2,85.18,4.2,3.0,4.0,10.0,5.0
196,1,4,0,1,38,23,15,35,4.5,11,208,6,4,78.75,4.6,4.5,5.0,11.0,2.75
197,1,4,0,1,44,19,25,41,4.863636363636363,13,257,11,4,68.77,6.4,7.0,7.0,15.0,3.75
198,1,4,0,1,28,13,15,22,4.5,8,153,4,2,91.11,4.0,6.8,6.0,5.0,2.5
199,1,4,1,1,23,8,15,21,3.9565217391304346,7,113,6,3,89.45,2.6,1.7,3.0,12.0,4.0
200,1,4,0,1,26,15,11,24,4.807692307692308,12,150,8,3,88.02,3.1,5.6,6.0,13.0,4.333333333333333
201,1,1,0,0,40,16,24,37,4.6,13,224,8,4,78.25,4.8,5.2,7.0,14.0,3.5
202,1,4,1,1,22,13,9,21,4.227272727272728,11,114,6,1,84.0,6.8,9.9,7.0,4.0,4.0
204,1,4,0,1,38,15,23,32,3.9210526315789473,9,186,11,4,104.13,1.1,1.8,2.0,28.0,7.0
205,1,4,0,1,70,37,33,62,3.9428571428571435,11,348,7,1,34.27,25.9,32.1,26.0,9.0,9.0
206,1,4,1,1,57,31,26,51,4.0701754385964914,10,288,6,3,86.03,6.0,7.2,6.0,15.0,5.0
207,1,1,0,0,34,15,19,32,4.529411764705882,12,187,7,1,53.89,14.2,16.9,9.0,7.0,7.0
208,1,4,0,1,100,39,61,79,5.13,20,612,20,6,62.98,8.6,11.1,9.0,18.0,3.0
209,1,4,0,1,38,18,20,35,4.342105263157896,11,202,6,3,75.5,5.9,5.3,6.0,8.0,2.6666666666666665
210,1,1,1,0,56,29,27,48,4.428571428571429,12,303,8,4,82.65,5.2,6.4,7.0,11.0,2.75
211,1,4,0,1,47,19,28,42,4.914893617021278,8,277,9,3,72.46,7.1,9.5,8.0,9.0,3.0
212,1,4,0,1,29,17,12,28,4.137931034482759,9,148,4,1,75.88,9.9,12.6,7.0,7.0,7.0
